I'm 19.	J'ai 19 ans.
I'm more than happy.	Je suis plus qu'heureux.
I'm no longer tired.	Je ne suis plus fatigué.
I'm not apologizing.	Je ne présente pas mes excuses.
I'm not blaming you.	Je ne vous blâme pas.
I'm not busy either.	Je ne suis pas occupé non plus.
I'm not coming back.	Je ne reviens pas.
I'm not complaining.	Je ne me plains pas.
I'm not disagreeing.	Je l'accorde.
I'm not discouraged.	Je ne suis pas découragé.
I'm not discouraged.	Je ne suis pas découragée.
I'm not in any pain.	Je n'éprouve pas la moindre douleur.
I'm not in the mood.	Je ne suis pas d'humeur.
I'm not intimidated.	Je ne suis pas intimidé.
I'm not intimidated.	Je ne suis pas intimidée.
I'm not leaving you.	Je ne te quitte pas.
I'm not one of them.	Je ne fais pas partie du sérail.
I'm not one of them.	Je ne fais pas partie de leur groupe.
I'm not one of them.	Je ne fais pas partie de leur bande.
I'm not presentable.	Je ne suis pas présentable.
I'm not proud of it.	Je n'en suis pas fière.
I'm not the manager.	Je ne suis pas le patron.
I'm only a customer.	Je ne suis qu'un client.
I'm out of practice.	Je manque de pratique.
I'm perfectly happy.	Je suis parfaitement heureux.
I'm proud of my dad.	Je suis fière de mon père.
I'm sad without you.	Je suis triste sans vous.
I'm short of breath.	Je suis à bout de souffle.
I'm slightly hungry.	J'ai légèrement faim.
I'm sorry. I forgot.	Je suis désolé. J'ai oublié.
I'm still concerned.	Je suis toujours inquiet.
I'm still undecided.	Je suis encore indécis.
I'm stuck in my job.	Je suis coincé dans mon boulot.
I'm traveling light.	Je voyage léger.
I'm trying to sleep.	J'essaie de dormir.
I'm very frustrated.	Je suis très frustré.
I'm very frustrated.	Je suis très frustrée.
I'm waiting my turn.	J'attends mon tour.
I'm writing a novel.	J'écris un roman.
I’m able to speak.	Je suis capable de parler.
She is a chatterbox.	C'est un moulin à parole.
She is bad-mannered.	Elle est mal élevée.
She is dark-skinned.	Elle a la peau noire.
She is fond of cake.	Elle adore les gâteaux.
She is good-natured.	Elle a une bonne nature.
She is good-natured.	Elle est bienveillante.
She is hard on them.	Elle est dure avec eux.
She is not to blame.	Elle n'est pas à blâmer.
She is still a girl.	Elle est encore mineure.
She shaved her head.	Elle s'est rasée la tête.
She speaks too much.	Elle parle trop.
She still buys milk.	Elle achète toujours du lait.
She still loved him.	Elle l'aimait encore.
She still loves him.	Elle l'aime encore.
She stopped talking.	Elle arrêta de parler.
She stopped talking.	Elle a arrêté de parler.
She's a born artist.	Elle est une artiste-née.
She's a dumb blonde.	C'est une blonde.
She's a real gossip.	C'est une vraie concierge.
She's a real gossip.	C'est une vraie commère.
She's a real hottie.	Elle est vraiment une fille ravissante.
She's a true artist.	C'est une véritable artiste.
She's been poisoned.	Elle a été empoisonnée.
She's not penniless.	Elle n'est pas sans argent.
She's still a minor.	Elle est encore mineure.
She's strong-willed.	Elle est obstinée.
She's strong-willed.	Elle a une forte volonté.
They're all thieves.	Ce sont tous des voleurs.
They're all thieves.	Ce sont toutes des voleuses.
They're all waiting.	Ils attendent tous.
They're ignoring me.	Ils ne me prêtent pas attention.
They're really ugly.	Ils sont vraiment moches.
We are all born mad.	Nous sommes tous nés fous.
We're all impressed.	Nous sommes tous impressionnés.
We're all impressed.	Nous sommes toutes impressionnées.
We're all witnesses.	Nous sommes tous témoins.
We're among friends.	Nous sommes au milieu d'amis.
We're back together.	Nous sommes de nouveau ensemble.
We're being watched.	Nous sommes observés.
We're closing early.	Nous fermons tôt.
We're conscientious.	Nous sommes consciencieux.
We're conscientious.	Nous sommes consciencieuses.
We're finally alone.	Nous sommes enfin seuls.
We're getting close.	Nous nous approchons.
We're getting there.	Nous y arrivons.
We're getting tired.	Nous commençons à fatiguer.
We're going hunting.	Nous allons à la chasse.
We're having dinner.	Nous sommes en train de déjeuner.
We're just starting.	Nous ne faisons que commencer.
We're not giving up.	Nous ne comptons pas abandonner.
We're not on a date.	Nous ne sortons pas ensemble.
We're not strangers.	Nous ne sommes pas des étrangers.
We're open tomorrow.	Nous sommes ouverts demain.
We're out of coffee.	Nous sommes à court de café.
We're playing cards.	Nous sommes en train de jouer aux cartes.
We're proud of that.	Nous en sommes fiers.
We're proud of that.	Nous en sommes fières.
We're tempting fate.	Nous tentons notre chance.
We're tempting fate.	Nous tentons le Diable.
We're truly worried.	On est vraiment inquiets.
You're all I've got.	Tu es tout ce que j'ai.
You're cantankerous.	Tu es acariâtre.
You're incorrigible.	Tu es incorrigible.
You're incorrigible.	Vous êtes incorrigibles.
You're irresistible.	T'es irrésistible.
You're not bleeding.	Tu ne saignes pas.
You're not bleeding.	Vous ne saignez pas.
You're off the hook.	Tu es tiré d'affaire.
You're off the hook.	Tu es tirée d'affaire.
You're off the hook.	Vous êtes tirées d'affaire.
You're off the hook.	Vous êtes tirés d'affaire.
You're out of booze.	Vous êtes à sec.
You're out of booze.	T'a plus de bibine.
You're out of booze.	C'est marée basse.
You're out of order.	Tu es hors-service.
You're out of sugar.	Tu es à court de sucre.
You're overreacting.	Tu dramatises.
You're overreacting.	Vous dramatisez.
You're overreacting.	Tu réagis de manière excessive.
You're overreacting.	Vous réagissez de manière excessive.
You're poisoning me.	Tu m'empoisonnes.
You're poisoning me.	Vous m'empoisonnez.
You're so impatient.	Vous êtes tellement impatients.
You're so impatient.	Vous êtes tellement impatientes.
You're such a flirt.	Vous êtes un de ces dragueurs !
You're such a flirt.	Vous êtes une de ces dragueuses !
You're such a flirt.	Tu es une de ces dragueuse !
You're the greatest.	Tu es le meilleur.
You're the sweetest.	Vous êtes la plus mignonne.
You're too trusting.	Tu es trop confiante.
You're too trusting.	Vous êtes trop confiants.
You're too trusting.	Vous êtes trop confiantes.
You're very curious.	Vous êtes très curieuses.
You're very forward.	Vous êtes très effrontée.
You're very forward.	Vous êtes très effronté.
You're very forward.	Vous êtes très effrontées.
You're very forward.	Vous êtes très effrontés.
You're very helpful.	Tu es très serviable.
You're very helpful.	Vous êtes très serviables.
You're very stylish.	Tu es très élégante.
You're very stylish.	Tu es très élégant.
You're very stylish.	Vous êtes très élégantes.
You're very stylish.	Vous êtes très élégants.
You're wasting ammo.	Vous gaspillez des munitions.
You're wasting ammo.	Tu gaspilles des munitions.
You're working hard.	Tu travailles dur.
You're working hard.	Vous travaillez dur.
He is a fast speaker.	Il parle vite.
He is a good speaker.	C'est un bon orateur.
He is a good swimmer.	C'est un bon nageur.
He is a handsome man.	C'est un bel homme.
He is a harsh critic.	C'est un critique acerbe.
He is a man of faith.	C'est un homme de foi.
He is a tough cookie.	C'est un emmerdeur.
He is always reading.	Il lit à longueur de temps.
He is an unsung hero.	C'est un héros inconnu.
He is breathing hard.	Il respire avec difficulté.
He is close to sixty.	Il a près de soixante ans.
He is cool, isn't he?	Il est cool, pas vrai ?
He is five feet tall.	Il mesure cinq pieds.
He is full of energy.	Il est plein d'énergie.
He is good at soccer.	Il est bon au foot.
He is hard to please.	Il est difficile de le satisfaire.
He is his own master.	Il est son propre maître.
He is his usual self.	Il est pareil à lui-même.
He is in his library.	Il est dans sa bibliothèque.
He is making cookies.	Il est en train de faire des cookies.
He is precious to us.	Il est précieux pour nous.
He is quite a savage.	Il est assez sauvage.
He is sadly mistaken.	Il se trompe complètement.
He is wearing gloves.	Il porte des gants.
He is willing enough.	Il a suffisamment de volonté.
He's a bad influence.	Il a une mauvaise influence.
He's a computer nerd.	C'est un informaticien boutonneux.
He's a control freak.	C'est un malade du contrôle.
He's a control freak.	C'est un maniaque du contrôle.
He's a famous artist.	C'est un artiste célèbre.
He's a hopeless case.	Il est sans espoir.
He's a nervous wreck.	C'est une boule de nerfs.
He's a nervous wreck.	Il est nerveusement usé.
He's a smooth talker.	C'est un beau parleur.
He's a smooth talker.	C'est un baratineur.
He's a tennis player.	Il est joueur de tennis.
He's afraid to dance.	Il a peur de danser.
He's crazy about her.	Il est follement épris d'elle.
He's got lung cancer.	Il a le cancer des poumons.
He's in grave danger.	Il est en danger grave.
He's mad at everyone.	Il est en colère après tout le monde.
He's missed the boat.	Il a loupé le coche.
He's my half-brother.	Il est mon demi-frère.
He's now on the boat.	Il est maintenant sur le bateau.
He's offered to help.	Il a offert son assistance.
He's on his way home.	Il est sur le chemin de son domicile.
He's out of position.	Il n'est pas à sa place.
He's smarter than me.	Il est plus intelligent que moi.
He's the class clown.	C'est le pitre de la classe.
He's under the chair.	Il est sous la chaise.
He's very protective.	Il est très protecteur.
I am afraid of bears.	J'ai peur des ours.
I am forced to do it.	Je suis contraint à le faire.
I am getting dressed.	Je me vêts.
I am playing it safe.	Je joue prudemment.
I am poor at drawing.	Je suis mauvais en dessin.
I am telling a story.	Je conte une histoire.
I am weighing myself.	Je suis en train de me peser.
I'm a French citizen.	Je suis un citoyen français.
I'm a French citizen.	Je suis citoyenne française.
I'm a Windows person.	Je suis branché Windows.
I'm a complete idiot.	Je suis un idiot complet.
I'm a natural blonde.	Je suis d'un blond naturel.
I'm afraid of flying.	J'ai peur de voler.
I'm against the bill.	Je suis contre ce projet de loi.
I'm allergic to cats.	Je suis allergique aux chats.
I'm allergic to corn.	Je suis allergique au maïs.
I'm at your disposal.	Je suis à ta disposition.
I'm attracted to him.	Je suis attirée par lui.
I'm back in business.	J'ai repris le business.
I'm calling for help.	J'appelle de l'aide.
I'm calling security.	J'appelle la sécurité.
I'm checking options.	Je vérifie les possibilités.
I'm closing the door.	Je suis en train de fermer la porte.
I'm depending on you.	Je dépends de toi.
I'm doing the dishes.	Je suis en train de faire la vaisselle.
I'm expecting a call.	J'attends un appel.
I'm expecting a call.	J'attends un coup de fil.
I'm feeling confused.	Je me sens confuse.
I'm feeling stressed.	Je me sens stressé.
I'm feeling stressed.	Je me sens stressée.
I'm fixing something.	Je répare quelque chose.
I'm glad I hired you.	Je suis content de t'avoir engagé.
I'm glad I hired you.	Je suis content de t'avoir engagée.
I'm glad he liked it.	Je suis heureux qu'il l'ait apprécié.
I'm glad to meet you.	Je suis content de vous voir.
I'm glad you met Tom.	Je suis heureuse que tu aies rencontré Tom.
I'm glad you're here.	Je suis content que vous soyez là.
I'm glad you're here.	Je suis content que tu sois là.
I'm going to be late.	Je serai en retard.
I'm going to college.	Je vais à l'Université.
I'm happy to be back.	Je suis heureuse d'être revenue.
I'm happy to be back.	Je suis heureux d'être rentré.
I'm hardly ever home.	Je ne suis pratiquement jamais chez moi.
I'm here every night.	Je suis ici tous les soirs.
I'm here to save you.	Je suis ici pour te sauver.
I'm highly motivated.	Vous m'avez bien motivé.
I'm hitting the road.	Je me casse.
I'm in love with you.	Je suis amoureuse de toi.
I'm in the same boat.	Je suis dans la même galère.
I'm just another man.	Je suis juste un autre homme.
I'm looking for work.	Je cherche du travail.
I'm making a snowman.	Je fais un bonhomme de neige.
I'm not a cat person.	Les chats ne sont pas mon truc.
I'm not a vegetarian.	Je ne suis pas végétarien.
I'm not as happy now.	Je suis moins heureux maintenant.
I'm not busy anymore.	Je ne suis plus occupé.
I'm not denying that.	Je ne démens pas cela.
I'm not making it up.	Je ne l'invente pas.
I'm not marrying you.	Je ne vais pas t'épouser.
I'm not running away.	Je ne m'enfuis pas.
I'm not sitting here.	Je ne vais pas m'asseoir ici.
I'm not staying here.	Je ne vais pas rester ici.
I'm not stopping you.	Je ne t'en empêche pas.
I'm not taking sides.	Je ne vais pas prendre parti.
I'm not wearing this.	Je ne vais pas porter ça.
I'm not your servant.	Je ne suis pas ton serviteur.
I'm often in trouble.	Je suis souvent en difficulté.
I'm pressing charges.	J'engage des poursuites.
I'm pressing charges.	Je suis en train d'engager des poursuites.
I'm ready if you are.	Je suis prêt si tu l'es.
I'm right beside you.	Je suis juste à ton côté.
I'm shorter than him.	Je suis plus petit que lui.
I'm sick of fighting.	Je n'en peux plus de combattre.
I'm smarter than you.	Je suis plus dégourdi que toi.
I'm smarter than you.	Je suis plus dégourdie que toi.
I'm sorry I hurt you.	Je suis désolé de vous avoir blessés.
I'm sorry I hurt you.	Je suis désolée de vous avoir blessées.
I'm sure they'll win.	Je suis sûr qu'ils vont gagner.
I'm terrible at math.	Je suis épouvantable en math.
I'm totally confused.	Je suis complètement embrouillé.
I'm totally confused.	Je suis complètement embrouillée.
I'm unnecessary here.	Je ne suis pas utile ici.
I'm watching a movie.	Je regarde un film.
I'm worried about it.	Cela m'inquiète.
I'm writing a letter.	J'écris une lettre.
I'm your biggest fan.	Je suis votre plus grand fan.
She is a good dancer.	C'est une bonne danseuse.
She is able to skate.	Elle est capable de patiner.
She is bad at sports.	Elle n'est pas bonne en sport.
She is first in line.	Elle est au premier rang.
She is hostile to me.	Elle m'est hostile.
She is living abroad.	Elle vit actuellement à l'étranger.
She is making dinner.	Elle prépare le souper.
She is making dinner.	Elle prépare le dîner.
She is my dream girl.	C'est la fille de mes rêves.
She is my girlfriend.	C'est ma copine.
She is never on time.	Elle n'est jamais à l'heure.
She is skipping rope.	Elle saute à la corde.
She sang pretty well.	Elle chantait assez bien.
She sells vegetables.	Elle vend des légumes.
She sent me a letter.	Elle m'a envoyé une lettre.
She served me coffee.	Elle m'a servi un café.
She slapped his face.	Elle le gifla.
She spoke impolitely.	Elle parla impoliment.
She spoke up for him.	Elle a parlé en sa faveur.
She stole my clothes!	Elle m'a volé mes vêtements !
